id,name,district,state_id,is_display
524,Hathras,Hathras,33,1
525,Bulandshahr,Bulandshahr,33,1
526,"Gautam Buddha Nagar","Gautam Buddha Nagar",33,1
527,Etah,Etah,33,1
528,Firozabad,Firozabad,33,1
529,Auraiya,Auraiya,33,1
530,Etawah,Etawah,33,1
531,Jalaun,Jalaun,33,1
532,Jhansi,Jhansi,33,1
533,Lalitpur,Lalitpur,33,1
534,Mainpuri,Mainpuri,33,1
535,Mathura,Mathura,33,1
536,Azamgarh,Azamgarh,33,1
537,Allahabad,Allahabad,33,1
538,Kaushambi,Kaushambi,33,1
539,Ghazipur,Ghazipur,33,1
540,Jaunpur,Jaunpur,33,1
541,Mirzapur,Mirzapur,33,1
542,Sonbhadra,Sonbhadra,33,1
543,Pratapgarh,Pratapgarh,33,1
544,Varanasi,Varanasi,33,1
545,Chandauli,Chandauli,33,1
546,"Sant Ravidas Nagar","Sant Ravidas Nagar",33,1
547,Bareilly,Bareilly,33,1
548,Pilibhit,Pilibhit,33,1
549,Bijnor,Bijnor,33,1
550,Haridwar,Haridwar,34,1
551,Budaun,Budaun,33,1
552,Hardoi,Hardoi,33,1
553,Kheri,Kheri,33,1
554,Meerut,Meerut,33,1
555,Bagpat,Bagpat,33,1
556,"Jyotiba Phule Nagar","Jyotiba Phule Nagar",33,1
557,Moradabad,Moradabad,33,1
558,Rampur,Rampur,33,1
559,Muzaffarnagar,Muzaffarnagar,33,1
560,Saharanpur,Saharanpur,33,1
561,Shahjahanpur,Shahjahanpur,33,1
562,Mau,Mau,33,1
563,Bahraich,Bahraich,33,1
564,Shrawasti,Shrawasti,33,1
565,Ballia,Ballia,33,1
566,"Sant Kabir Nagar","Sant Kabir Nagar",33,1
567,Siddharthnagar,Siddharthnagar,33,1
568,Basti,Basti,33,1
569,Deoria,Deoria,33,1
570,Kushinagar,Kushinagar,33,1
571,Gonda,Gonda,33,1
572,Balrampur,Balrampur,33,1
573,Gorakhpur,Gorakhpur,33,1
574,Maharajganj,Maharajganj,33,1
575,Mahoba,Mahoba,33,1
576,Banda,Banda,33,1
577,Chitrakoot,Chitrakoot,33,1
578,Hamirpur,Hamirpur,33,1
579,Kannauj,Kannauj,33,1
580,Farrukhabad,Farrukhabad,33,1
581,Fatehpur,Fatehpur,33,1
582,"Kanpur Nagar","Kanpur Nagar",33,1
583,Unnao,Unnao,33,1
584,"Kanpur Dehat","Kanpur Dehat",33,1
585,Barabanki,Barabanki,33,1
586,Faizabad,Faizabad,33,1
587,"Ambedkar Nagar","Ambedkar Nagar",33,1
